Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-10-15 09:30:00-04:00,25.43000030517578,25.43000030517578,25.43000030517578,25.43000030517578,22978,0.0,0.0,0.0
2024-10-15 09:34:00-04:00,25.434999465942383,25.434999465942383,25.43000030517578,25.43000030517578,2000,0.0,0.0,0.0
2024-10-15 09:35:00-04:00,25.434999465942383,25.434999465942383,25.431400299072266,25.431400299072266,549,0.0,0.0,0.0
2024-10-15 09:38:00-04:00,25.43160057067871,25.434999465942383,25.430500030517578,25.434999465942383,812,0.0,0.0,0.0
2024-10-15 09:39:00-04:00,25.430599212646484,25.430599212646484,25.430599212646484,25.430599212646484,313,0.0,0.0,0.0
2024-10-15 09:40:00-04:00,25.43899917602539,25.43899917602539,25.43899917602539,25.43899917602539,2191,0.0,0.0,0.0
2024-10-15 09:41:00-04:00,25.43000030517578,25.43000030517578,25.43000030517578,25.43000030517578,308,0.0,0.0,0.0
2024-10-15 09:42:00-04:00,25.43311309814453,25.43311309814453,25.430700302124023,25.430700302124023,403,0.0,0.0,0.0
2024-10-15 09:46:00-04:00,25.434999465942383,25.440000534057617,25.43000030517578,25.43000030517578,16942,0.0,0.0,0.0
2024-10-15 09:47:00-04:00,25.43000030517578,25.430200576782227,25.43000030517578,25.430200576782227,4023,0.0,0.0,0.0
2024-10-15 09:48:00-04:00,25.433399200439453,25.438400268554688,25.430500030517578,25.434999465942383,2147,0.0,0.0,0.0
2024-10-15 09:50:00-04:00,25.43000030517578,25.43000030517578,25.43000030517578,25.43000030517578,981,0.0,0.0,0.0
2024-10-15 09:51:00-04:00,25.431800842285156,25.431800842285156,25.431800842285156,25.431800842285156,655,0.0,0.0,0.0
2024-10-15 09:54:00-04:00,25.438199996948242,25.438199996948242,25.438199996948242,25.438199996948242,464,0.0,0.0,0.0
2024-10-15 09:59:00-04:00,25.43160057067871,25.43160057067871,25.43160057067871,25.43160057067871,234,0.0,0.0,0.0
2024-10-15 10:02:00-04:00,25.43120002746582,25.438499450683594,25.43120002746582,25.438499450683594,731,0.0,0.0,0.0
2024-10-15 10:04:00-04:00,25.438499450683594,25.438499450683594,25.438499450683594,25.438499450683594,816,0.0,0.0,0.0
2024-10-15 10:06:00-04:00,25.434999465942383,25.434999465942383,25.434999465942383,25.434999465942383,1269,0.0,0.0,0.0
2024-10-15 10:07:00-04:00,25.43000030517578,25.43000030517578,25.43000030517578,25.43000030517578,542,0.0,0.0,0.0
