Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-15 08:00:00+01:00,2254.0,2254.0,2243.0,2243.0,0,0.0,0.0
2024-10-15 08:01:00+01:00,2243.0,2249.0,2232.0,2232.0,5116,0.0,0.0
2024-10-15 08:02:00+01:00,2236.0,2250.0,2235.0,2238.0,4684,0.0,0.0
2024-10-15 08:03:00+01:00,2234.0,2235.0,2231.0,2231.0,23159,0.0,0.0
2024-10-15 08:04:00+01:00,2230.322021484375,2230.5400390625,2228.0,2228.0,3373,0.0,0.0
2024-10-15 08:05:00+01:00,2227.0,2230.0,2227.0,2230.0,32182,0.0,0.0
2024-10-15 08:06:00+01:00,2230.0,2230.0,2227.0,2227.0,9957,0.0,0.0
2024-10-15 08:07:00+01:00,2228.0,2228.0,2223.0,2223.0,828,0.0,0.0
2024-10-15 08:08:00+01:00,2224.0,2225.0,2223.0,2223.0,5574,0.0,0.0
2024-10-15 08:09:00+01:00,2225.0,2225.0,2225.0,2225.0,0,0.0,0.0
2024-10-15 08:10:00+01:00,2222.0,2227.0,2222.0,2227.0,110368,0.0,0.0
2024-10-15 08:11:00+01:00,2227.0,2229.0,2227.0,2229.0,741,0.0,0.0
2024-10-15 08:12:00+01:00,2226.0,2228.0,2226.0,2228.0,405,0.0,0.0
2024-10-15 08:13:00+01:00,2230.0,2230.0,2230.0,2230.0,1,0.0,0.0
2024-10-15 08:14:00+01:00,2227.0,2227.0,2226.0,2226.0,483,0.0,0.0
2024-10-15 08:15:00+01:00,2229.0,2229.0,2224.0,2226.0,1934,0.0,0.0
2024-10-15 08:16:00+01:00,2225.0,2225.0,2224.0,2224.0,1981,0.0,0.0
2024-10-15 08:17:00+01:00,2223.0,2227.0,2223.0,2225.669921875,2615,0.0,0.0
2024-10-15 08:18:00+01:00,2226.0,2228.0,2224.0,2228.0,3613,0.0,0.0
2024-10-15 08:19:00+01:00,2228.0,2228.0,2225.0,2227.0,610,0.0,0.0
2024-10-15 08:20:00+01:00,2226.0,2226.0,2225.5,2225.5,98,0.0,0.0
2024-10-15 08:21:00+01:00,2227.0,2230.0,2227.0,2228.0,2598,0.0,0.0
2024-10-15 08:22:00+01:00,2228.76806640625,2228.76806640625,2228.76806640625,2228.76806640625,641,0.0,0.0
2024-10-15 08:24:00+01:00,2230.0,2230.0,2225.0,2225.0,3046,0.0,0.0
2024-10-15 08:25:00+01:00,2226.0,2226.0,2226.0,2226.0,799,0.0,0.0
2024-10-15 08:27:00+01:00,2226.409912109375,2227.994140625,2226.409912109375,2227.0,717,0.0,0.0
2024-10-15 08:30:00+01:00,2230.0,2230.0,2228.0,2228.0,1236,0.0,0.0
2024-10-15 08:31:00+01:00,2230.0,2230.0,2229.0,2229.0,10,0.0,0.0
2024-10-15 08:33:00+01:00,2229.383056640625,2229.383056640625,2229.383056640625,2229.383056640625,140,0.0,0.0
2024-10-15 08:34:00+01:00,2229.0,2229.0,2228.0,2228.0,345,0.0,0.0
2024-10-15 08:35:00+01:00,2228.5,2228.5,2228.5,2228.5,1,0.0,0.0
2024-10-15 08:36:00+01:00,2229.511962890625,2229.511962890625,2229.511962890625,2229.511962890625,100,0.0,0.0
2024-10-15 08:37:00+01:00,2230.0,2230.0,2230.0,2230.0,99,0.0,0.0
2024-10-15 08:39:00+01:00,2228.0,2228.5,2226.0,2226.0,2253,0.0,0.0
2024-10-15 08:40:00+01:00,2225.0,2225.0,2225.0,2225.0,0,0.0,0.0
